study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6455	SAMEA3724851	ERS1032000	ERX1283427	ERR1211176	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211176/ERR1211176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211176/ERR1211176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211176/ERR1211176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211176/ERR1211176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/006/ERR1211176	ftp.sra.ebi.ac.uk/vol1/err/ERR121/006/ERR1211176		
PRJEB6455	SAMEA3724852	ERS1032001	ERX1283428	ERR1211177	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211177/ERR1211177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211177/ERR1211177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211177/ERR1211177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211177/ERR1211177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/007/ERR1211177	ftp.sra.ebi.ac.uk/vol1/err/ERR121/007/ERR1211177		
PRJEB6455	SAMEA3724853	ERS1032002	ERX1283429	ERR1211178	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211178/ERR1211178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211178/ERR1211178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211178/ERR1211178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211178/ERR1211178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/008/ERR1211178	ftp.sra.ebi.ac.uk/vol1/err/ERR121/008/ERR1211178		
PRJEB6455	SAMEA3724854	ERS1032003	ERX1283430	ERR1211179	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211179/ERR1211179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211179/ERR1211179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211179/ERR1211179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211179/ERR1211179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/009/ERR1211179	ftp.sra.ebi.ac.uk/vol1/err/ERR121/009/ERR1211179		
PRJEB6455	SAMEA3724855	ERS1032004	ERX1283431	ERR1211180	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211180/ERR1211180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211180/ERR1211180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211180/ERR1211180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211180/ERR1211180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/000/ERR1211180	ftp.sra.ebi.ac.uk/vol1/err/ERR121/000/ERR1211180		
PRJEB6455	SAMEA3724856	ERS1032005	ERX1283432	ERR1211181	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211181/ERR1211181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211181/ERR1211181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211181/ERR1211181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211181/ERR1211181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/001/ERR1211181	ftp.sra.ebi.ac.uk/vol1/err/ERR121/001/ERR1211181		
PRJEB6455	SAMEA3724857	ERS1032006	ERX1283433	ERR1211182	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211182/ERR1211182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211182/ERR1211182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211182/ERR1211182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211182/ERR1211182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/002/ERR1211182	ftp.sra.ebi.ac.uk/vol1/err/ERR121/002/ERR1211182		
PRJEB6455	SAMEA3724858	ERS1032007	ERX1283434	ERR1211183	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211183/ERR1211183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211183/ERR1211183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211183/ERR1211183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211183/ERR1211183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_8_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_8_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/003/ERR1211183	ftp.sra.ebi.ac.uk/vol1/err/ERR121/003/ERR1211183		
PRJEB6455	SAMEA3724859	ERS1032008	ERX1283435	ERR1211184	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211184/ERR1211184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211184/ERR1211184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211184/ERR1211184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211184/ERR1211184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_9_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_9_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_9_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_9_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/004/ERR1211184	ftp.sra.ebi.ac.uk/vol1/err/ERR121/004/ERR1211184		
PRJEB6455	SAMEA3724860	ERS1032009	ERX1283436	ERR1211185	10090	Mus musculus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211185/ERR1211185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211185/ERR1211185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211185/ERR1211185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211185/ERR1211185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_10_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA552/ERA552228/fastq/Teichmann_2i_3_10_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR121/005/ERR1211185	ftp.sra.ebi.ac.uk/vol1/err/ERR121/005/ERR1211185		
